timestamp, temperature.gpu, utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/02/11 11:33:43.159, 35, 0 %, 0 %, 24.76 W, 135 MHz, 877 MHz, P0
2026/02/11 11:33:44.161, 35, 0 %, 0 %, 24.76 W, 135 MHz, 877 MHz, P0
2026/02/11 11:33:45.162, 35, 0 %, 0 %, 24.76 W, 135 MHz, 877 MHz, P0
2026/02/11 11:33:46.163, 35, 0 %, 0 %, 24.76 W, 135 MHz, 877 MHz, P0
2026/02/11 11:33:47.165, 35, 2 %, 0 %, 41.14 W, 1290 MHz, 877 MHz, P0
2026/02/11 11:33:48.166, 44, 100 %, 65 %, 290.99 W, 1440 MHz, 877 MHz, P0
2026/02/11 11:33:49.182, 48, 100 %, 63 %, 298.83 W, 1440 MHz, 877 MHz, P0
2026/02/11 11:33:50.188, 51, 100 %, 64 %, 290.04 W, 1440 MHz, 877 MHz, P0
2026/02/11 11:33:51.189, 53, 100 %, 63 %, 292.68 W, 1440 MHz, 877 MHz, P0
2026/02/11 11:33:52.191, 55, 100 %, 64 %, 294.57 W, 1432 MHz, 877 MHz, P0
2026/02/11 11:33:53.192, 56, 100 %, 64 %, 298.83 W, 1432 MHz, 877 MHz, P0
2026/02/11 11:33:54.196, 57, 100 %, 64 %, 296.94 W, 1425 MHz, 877 MHz, P0
2026/02/11 11:33:55.198, 58, 100 %, 63 %, 298.83 W, 1425 MHz, 877 MHz, P0
2026/02/11 11:33:56.199, 59, 100 %, 63 %, 289.10 W, 1425 MHz, 877 MHz, P0
2026/02/11 11:33:57.201, 60, 100 %, 63 %, 293.63 W, 1425 MHz, 877 MHz, P0
2026/02/11 11:33:58.208, 61, 100 %, 64 %, 297.41 W, 1425 MHz, 877 MHz, P0
2026/02/11 11:33:59.209, 62, 100 %, 61 %, 295.99 W, 1417 MHz, 877 MHz, P0
2026/02/11 11:34:00.211, 63, 100 %, 62 %, 297.41 W, 1425 MHz, 877 MHz, P0
2026/02/11 11:34:01.214, 64, 100 %, 63 %, 296.46 W, 1425 MHz, 877 MHz, P0
2026/02/11 11:34:02.215, 64, 100 %, 62 %, 294.10 W, 1410 MHz, 877 MHz, P0
2026/02/11 11:34:03.217, 65, 100 %, 62 %, 294.57 W, 1410 MHz, 877 MHz, P0
2026/02/11 11:34:04.222, 66, 100 %, 64 %, 296.94 W, 1410 MHz, 877 MHz, P0
2026/02/11 11:34:05.223, 66, 100 %, 61 %, 287.68 W, 1410 MHz, 877 MHz, P0
2026/02/11 11:34:06.229, 67, 100 %, 62 %, 288.15 W, 1410 MHz, 877 MHz, P0
2026/02/11 11:34:07.231, 67, 100 %, 62 %, 287.68 W, 1410 MHz, 877 MHz, P0
2026/02/11 11:34:08.232, 68, 100 %, 63 %, 288.62 W, 1410 MHz, 877 MHz, P0
2026/02/11 11:34:09.234, 69, 100 %, 63 %, 290.52 W, 1410 MHz, 877 MHz, P0
2026/02/11 11:34:10.235, 69, 100 %, 61 %, 290.04 W, 1410 MHz, 877 MHz, P0
2026/02/11 11:34:11.236, 70, 100 %, 62 %, 301.46 W, 1410 MHz, 877 MHz, P0
2026/02/11 11:34:12.238, 70, 100 %, 62 %, 299.57 W, 1410 MHz, 877 MHz, P0
2026/02/11 11:34:13.239, 71, 100 %, 63 %, 284.84 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:14.241, 71, 100 %, 62 %, 300.51 W, 1402 MHz, 877 MHz, P0
2026/02/11 11:34:15.242, 72, 100 %, 62 %, 295.05 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:16.246, 72, 100 %, 62 %, 294.57 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:17.253, 73, 100 %, 62 %, 293.15 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:18.255, 73, 100 %, 62 %, 291.26 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:19.256, 74, 100 %, 62 %, 291.26 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:20.263, 74, 100 %, 62 %, 290.99 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:21.270, 75, 100 %, 62 %, 288.15 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:22.271, 75, 100 %, 62 %, 289.10 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:23.273, 75, 100 %, 61 %, 288.62 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:24.277, 76, 100 %, 63 %, 289.10 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:25.283, 76, 100 %, 62 %, 301.46 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:26.284, 77, 100 %, 61 %, 297.41 W, 1387 MHz, 877 MHz, P0
2026/02/11 11:34:27.289, 77, 100 %, 59 %, 298.83 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:28.292, 78, 100 %, 59 %, 293.63 W, 1387 MHz, 877 MHz, P0
2026/02/11 11:34:29.294, 78, 100 %, 60 %, 285.31 W, 1380 MHz, 877 MHz, P0
2026/02/11 11:34:30.295, 78, 100 %, 61 %, 295.99 W, 1380 MHz, 877 MHz, P0
2026/02/11 11:34:31.304, 78, 100 %, 61 %, 296.46 W, 1380 MHz, 877 MHz, P0
2026/02/11 11:34:32.305, 79, 100 %, 60 %, 293.63 W, 1380 MHz, 877 MHz, P0
2026/02/11 11:34:33.307, 79, 100 %, 62 %, 293.63 W, 1387 MHz, 877 MHz, P0
2026/02/11 11:34:34.308, 79, 100 %, 60 %, 290.79 W, 1387 MHz, 877 MHz, P0
2026/02/11 11:34:35.310, 80, 100 %, 59 %, 297.41 W, 1380 MHz, 877 MHz, P0
2026/02/11 11:34:36.313, 80, 100 %, 60 %, 295.52 W, 1380 MHz, 877 MHz, P0
